iter	Logloss	Accuracy	AUC
0	0.3952946829	0.984920757	0.989762287
1	0.2455160077	0.984920757	0.989725211
2	0.1704093547	0.984920757	0.989725211
3	0.1305442701	0.9853823665	0.992455606
4	0.09027886475	0.9853823665	0.9968711093
5	0.05590595693	0.9852284967	0.9999421103
6	0.03733901072	0.9852284967	0.9999664799
7	0.02405120941	0.9935374673	0.9999941209
8	0.01626823442	0.9970764733	0.9999979139
9	0.01155906728	0.9981535621	0.9999989569
10	0.01039279047	0.9983074319	0.9999989569
11	0.007882256107	0.9986151716	0.9999994311
12	0.007187969083	0.999076781	0.9999995259
13	0.006290108663	0.9992306509	0.9999996207
14	0.005290042948	0.9992306509	1
15	0.004780817515	1	1
16	0.004445831397	1	1
17	0.00423146689	0.9993845207	1
18	0.003723018682	1	1
19	0.003635948018	1	1
20	0.003424388961	1	1
21	0.00309907254	1	1
22	0.003012120896	1	1
23	0.002933016084	1	1
24	0.002885892325	1	1
25	0.00277793094	1	1
26	0.00277793094	1	1
27	0.002531278089	1	1
28	0.002531274032	1	1
29	0.002488671039	1	1
30	0.002367886183	1	1
31	0.002345699657	1	1
32	0.002345686331	1	1
33	0.002304361436	1	1
34	0.002252596458	1	1
35	0.002227394591	1	1
36	0.002208939785	1	1
37	0.002059713849	1	1
38	0.001972691985	1	1
39	0.001956895341	1	1
40	0.001956895341	1	1
41	0.001863336821	1	1
42	0.001863329464	1	1
43	0.001852082851	1	1
44	0.001852082851	1	1
45	0.001793785477	1	1
46	0.001793768091	1	1
47	0.001728251842	1	1
48	0.001728251842	1	1
49	0.001728251842	1	1
50	0.001728231379	1	1
51	0.001728200835	1	1
52	0.001728192424	1	1
53	0.001728186591	1	1
54	0.001728173343	1	1
55	0.001703284075	1	1
56	0.001670813914	1	1
57	0.001670813914	1	1
58	0.001630664694	1	1
59	0.0016306454	1	1
60	0.001630636952	1	1
61	0.001630614579	1	1
62	0.001630588439	1	1
63	0.001630580352	1	1
64	0.001554119542	1	1
65	0.001554113439	1	1
66	0.00149932403	1	1
67	0.001499320611	1	1
68	0.001499318907	1	1
69	0.001499303944	1	1
70	0.001499303944	1	1
71	0.001499295357	1	1
72	0.001499279756	1	1
73	0.001499278953	1	1
74	0.001464004795	1	1
75	0.001463973792	1	1
76	0.001460780558	1	1
77	0.001459215688	1	1
78	0.001459211388	1	1
79	0.001459202317	1	1
80	0.001457147764	1	1
81	0.001457131702	1	1
82	0.001422823034	1	1
83	0.00142280132	1	1
84	0.001422770952	1	1
85	0.001422760073	1	1
86	0.001422760073	1	1
87	0.001422760073	1	1
88	0.001422760073	1	1
89	0.001422760073	1	1
90	0.001422714938	1	1
91	0.001422713312	1	1
92	0.001422713312	1	1
93	0.001422713312	1	1
94	0.001422713312	1	1
95	0.001422713312	1	1
96	0.001422713312	1	1
97	0.001422708142	1	1
98	0.001335719314	1	1
99	0.001274702393	1	1
