iter	Passed	Remaining
0	97	9616
1	123	6057
2	136	4421
3	152	3655
4	162	3090
5	174	2741
6	187	2493
7	201	2319
8	215	2175
9	228	2054
10	241	1957
11	261	1919
12	278	1863
13	292	1797
14	306	1737
15	323	1700
16	339	1659
17	355	1619
18	369	1574
19	384	1536
20	396	1492
21	418	1482
22	430	1440
23	448	1419
24	465	1396
25	475	1354
26	488	1321
27	508	1308
28	522	1278
29	540	1260
30	555	1235
31	569	1210
32	575	1168
33	587	1139
34	598	1111
35	613	1089
36	627	1069
37	650	1061
38	664	1038
39	675	1012
40	683	983
41	697	962
42	707	937
43	722	919
44	738	902
45	751	881
46	768	867
47	784	849
48	793	825
49	807	807
50	818	786
51	834	769
52	842	747
53	854	728
54	868	710
55	879	690
56	888	669
57	901	653
58	915	636
59	925	617
60	942	602
61	955	585
62	964	566
63	972	546
64	983	529
65	992	511
66	1001	493
67	1011	475
68	1020	458
69	1032	442
70	1050	429
71	1069	415
72	1082	400
73	1100	386
74	1116	372
75	1129	356
76	1144	341
77	1155	326
78	1165	309
79	1177	294
80	1191	279
81	1207	264
82	1221	250
83	1235	235
84	1251	220
85	1266	206
86	1280	191
87	1294	176
88	1306	161
89	1319	146
90	1333	131
91	1345	117
92	1370	103
93	1388	88
94	1404	73
95	1417	59
96	1432	44
97	1453	29
98	1465	14
99	1476	0
